qtlId,traitName,traitUri,ChromosomeNumber,markers_associated,markerUri,gene_associated, geneUri,snp_associated,snpUri,pmcId,tableId,rowNumber 
PMC4266912_Table 1_0,Ascorbic Acid (mg 100 g−1 FW),,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,0
PMC4266912_Table 1_1,β-carotene (μg g−1 FW)a,http://purl.obolibrary.org/obo/TO_0000289,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,1
PMC4266912_Table 1_2,Trans-lycopene (μg g−1 FW),http://purl.obolibrary.org/obo/TO_0000442,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,2
PMC4266912_Table 1_3,Cis-lycopene (μg g−1 FW),http://purl.obolibrary.org/obo/TO_0000442,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,3
PMC4266912_Table 1_4,Phenolics (mg GAE 100 g−1 FW),,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,4
PMC4266912_Table 1_5,Dry matter weight (g 100 g−1 FW),http://purl.obolibrary.org/obo/TO_0000442,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,5
PMC4266912_Table 1_6,Fresh Weight (g),http://purl.obolibrary.org/obo/TO_0000442,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,6
PMC4266912_Table 1_7,pH (pH units),http://purl.obolibrary.org/obo/SP_0000170,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,7
PMC4266912_Table 1_8,Soluble solids content (Brix),,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,8
PMC4266912_Table 1_9,Titratable acidity (g c.a. 100 mL−1 juice),http://purl.obolibrary.org/obo/SP_0000345,,,null,,null,,null,PMC4266912,PMC4266912_Table 1,9
PMC4266912_Table 2_0,Ascorbic Acid,,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,0
PMC4266912_Table 2_1,β-carotene,http://purl.obolibrary.org/obo/TO_0000289,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,1
PMC4266912_Table 2_2,Trans-lycopene,,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,2
PMC4266912_Table 2_3,Cis-lycopene,,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,3
PMC4266912_Table 2_4,Phenolics,http://purl.obolibrary.org/obo/TO_0020076,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,4
PMC4266912_Table 2_5,Dry matter weight,,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,5
PMC4266912_Table 2_6,Fresh Weight,http://purl.obolibrary.org/obo/TO_0000442,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,6
PMC4266912_Table 2_7,pH,http://purl.obolibrary.org/obo/SP_0000170,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,7
PMC4266912_Table 2_8,Soluble solids content,,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,8
PMC4266912_Table 2_9,Titratable acidity,http://purl.obolibrary.org/obo/SP_0000345,,,null,,null,,null,PMC4266912,PMC4266912_Table 2,9
PMC4266912_Table 3_0,Traita,,,,null,Geneb; ,,,null,PMC4266912,PMC4266912_Table 3,0
PMC4266912_Table 3_1,AsA,,,,null,Solyc03g112630.2.1; ,,solcap_snp_sl_20936; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_20936,PMC4266912,PMC4266912_Table 3,1
